,Price,Adress,Total Finished Area:,Bedrooms:,Bathrooms:,Architectural Style:,Association Fee Includes:,Built in:,Condo Fees:,Construction Materials:,Cooling:,Exterior Features:,Fireplace Features:,Floor Space (approx):,Flooring:,Foundation Details:,Heating:,Interior Features:,Levels:,Parking Features:,Roof:,Zoning:,Lot Size:,Utilities:,Water Source:,Sewer:,Air Conditioning:,Pool:,Irregular:,Waterfront Features:,Garage:,Style:,Building Type:,Amenities:,Exterior Finish:,Fireplace:,Heating Type:,Cooling Type:,OwnershipType:,Property Type:,Features:,No. of Parking Spaces:
187,"$369,900","148 Glamis Terrace SW, Calgary, AB, T3E 6V3",1294.00,2+1,2+1,4 Level Split,"Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash, Water",1981,$443 Monthly,"Stucco, Wood Frame, Wood Siding",None,Private Yard,Wood Burning,1294.00 Square Feet,"Laminate, Tile",Poured Concrete,"Forced Air, Natural Gas","Ceiling Fan(s), Open Floorplan",4 Level Split,Single Garage Attached,Asphalt Shingle,M-CG d35,,,,,,,,,,,,,,,,,,,,
188,"$525,000","148 Walcrest Boulevard SE, Calgary, AB, T2X 4L5",1473.90,3+0,2+1,2 Storey,,2022,,"Composite Siding, Vinyl Siding, Wood Frame",None,Private Yard,,1473.90 Square Feet,"Carpet, Tile, Vinyl",Poured Concrete,"Forced Air, Natural Gas","Granite Counters, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Recessed Lighting, Soaking Tub, Storage, Walk-In Closet(s)",Two,"Alley Access, Off Street",Asphalt Shingle,R-G,2809.00 Square Feet,,,,,,,,,,,,,,,,,,,
189,"$1,200,000","149 Aspen Summit Drive SW, Calgary, AB, T3H 0Y6",2547.01,3+0,2+1,2 Storey,,2014,,"Stucco, Wood Frame",None,None,Gas,2547.01 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Built-in Features, Double Vanity, High Ceilings, Kitchen Island, Open Floorplan, Pantry, Soaking Tub",Two,,Asphalt Shingle,R-1,5877.00 Square Feet,,,,,,,,Yes,,,,,,,,,,,
190,"$849,999","149 Valley Woods Place NW, Calgary, AB, T3B 6A1",2434.60,3+1,3+1,2 Storey,,2006,,"Mixed, Wood Frame",Central Air,Private Yard,Gas,2434.60 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Breakfast Bar, Central Vacuum, Double Vanity, Granite Counters, High Ceilings, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Separate Entrance, Walk-In Closet(s), Wet Bar",Two,Double Garage Attached,Asphalt,RC-2,6383.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
191,"$639,900","15-185 Woodridge Drive SW, Calgary, AB, T2W 3X7",1602.00,3+0,3+1,2 Storey,"Common Area Maintenance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",1980,$543 Monthly,"Brick, Composite Siding, Wood Frame",None,None,"Brick Facing, Family Room, Gas Log, Wood Burning",1602.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Fireplace(s), Forced Air, Natural Gas","Kitchen Island, Skylight(s)",Two,Double Garage Attached,Asphalt Shingle,M-CG d44,,,,,,,,,,,,,,,,,,,,
192,"$559,900","15 Edgedale Road NW, Calgary, AB, T3A 2P6",908.70,2+1,2+0,4 Level Split,,1979,,"Vinyl Siding, Wood Frame",None,"Private Entrance, Private Yard",Gas,908.70 Square Feet,"Carpet, Linoleum",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Ceiling Fan(s), Open Floorplan, See Remarks, Separate Entrance, Storage, Walk-In Closet(s)",4 Level Split,Off Street,Asphalt Shingle,R-C2,3939.00 Square Feet,,,,,,,,,,,,,,,,,,,
193,"$189,900","1504-221 6 Avenue SE, Calgary, AB, T2G 4Z9",709.78,1+0,1+0,High-Rise (5+),"Common Area Maintenance, Gas, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Trash, Water",1980,$537 Monthly,Concrete,None,"Courtyard, Lighting",,709.78 Square Feet,"Carpet, Laminate",,Baseboard,"Breakfast Bar, Closet Organizers, No Animal Home, No Smoking Home, Open Floorplan",Single Level Unit,"Assigned, Parkade",,CR20-C20/R20,,,,,,,,,,,,,,,,,,,,
194,"$239,900","151-66 Glamis Green SW, Calgary, AB, T3E 6V1",1064.87,2+0,1+1,2 Storey,"Common Area Maintenance, Insurance, Professional Management, Snow Removal, Trash",1980,$508 Monthly,"Vinyl Siding, Wood Frame",None,"Playground, Private Entrance","Gas, Living Room, Stone",1064.87 Square Feet,"Carpet, Hardwood",Poured Concrete,Forced Air,Breakfast Bar,Two,Double Garage Attached,Asphalt Shingle,M-C1 d70,,,,,,,,,,,,,,,,,,,,
195,"$565,000","1515 12 Avenue SW, Calgary, AB, T3C 0R1",2001.00,3+0,2+0,3 Storey,,1910,,"Wood Frame, Wood Siding",None,None,,2001.00 Square Feet,"Ceramic Tile, Hardwood",Poured Concrete,Forced Air,Separate Entrance,Three Or More,Stall,Asphalt Shingle,M-CG d111,3250.00 Square Feet,,,,,,,,,,,,,,,,,,,
196,"$355,000","152 Doverglen Crescent SE, Calgary, AB, T2B 2P6",1008.48,3+0,1+1,"2 Storey, Side by Side",,1980,,"Vinyl Siding, Wood Frame",None,Private Yard,,1008.48 Square Feet,"Carpet, Laminate, Tile",Poured Concrete,"Forced Air, Natural Gas",See Remarks,Two,"Off Street, Parking Pad",Asphalt Shingle,R-C2,3552.00 Square Feet,,,,,,,,,,,,,,,,,,,
197,"$599,900","152 Everwillow Green SW, Calgary, AB, T2Y 4V8",1816.00,3+0,2+1,2 Storey,,2004,,Stucco,None,Other,"Family Room, Gas",1816.00 Square Feet,"Carpet, Ceramic Tile, Hardwood, Linoleum",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Central Vacuum, Closet Organizers, Kitchen Island, Laminate Counters, No Smoking Home",Two,Double Garage Attached,Asphalt,R-1N,4262.00 Square Feet,,,,,,,,,,,,,,,,,,,
198,"$549,900","152 Oakbriar Close SW, Calgary, AB, T2V 5G7",1306.38,1+1,3+0,"Bungalow, Side by Side","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash",1988,$543 Monthly,"Stucco, Wood Frame",Central Air,Lighting,"Gas Log, Wood Burning",1306.38 Square Feet,"Carpet, Laminate, Linoleum",Poured Concrete,Forced Air,"Bar, Closet Organizers",One,Double Garage Attached,Asphalt Shingle,M-CG d17,,,,,Yes,,,,,,,,,,,,,,,
199,"$549,900","152 Pinetree Road NE, Calgary, AB, T1Y 1K2",1072.75,3+2,2+1,Bungalow,,1975,,"Concrete, Post & Beam, Stone, Vinyl Siding",None,Private Yard,,1072.75 Square Feet,"Carpet, Tile",Poured Concrete,Forced Air,"Beamed Ceilings, Chandelier, No Smoking Home, Open Floorplan, Separate Entrance, Storage, Walk-In Closet(s)",One,"Alley Access, Double Garage Detached, Garage Faces Rear, Insulated, Off Street, On Street, Oversized",Asphalt Shingle,R-C1,5715.00 Square Feet,,,,,,,,,,,,,,,,,,,
200,"$355,000","1520-8710 Horton Road SW, Calgary, AB, T2V 0P7",1038.00,2+0,2+0,High-Rise (5+),"Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Residential Manager, Security Personnel, Trash",2008,$538 Monthly,"Brick, Concrete",None,Other,,1038.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",,"Boiler, Hot Water","Breakfast Bar, Granite Counters, No Smoking Home, Storage",Single Level Unit,Parkade,Tar/Gravel,C-C2 f4.0h80,,,,,,,,,,,,,,,,,,,,
201,"$619,900","15226 PRESTWICK Boulevard SE, Calgary, AB, T2Z 3L4",1764.65,3+1,3+1,2 Storey,,1998,,"Vinyl Siding, Wood Frame",None,"Dog Run, Private Yard",Gas,1764.65 Square Feet,"Carpet, Hardwood, Linoleum",Poured Concrete,"Forced Air, Natural Gas","High Ceilings, Kitchen Island, No Smoking Home, Open Floorplan, Storage, Walk-In Closet(s)",Two,Double Garage Attached,Asphalt Shingle,DC (pre 1P2007),4197.00 Square Feet,,Public,,,,,,,,,,,,,,,,,
202,"$349,900","1523 11 Street SW, Calgary, AB, T2R 1R3",1186.00,2+0,2+1,2 Storey,"Caretaker, Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash",1996,$649 Monthly,Stucco,None,Private Entrance,,1186.00 Square Feet,"Carpet, Laminate",Poured Concrete,Forced Air,"Closet Organizers, No Smoking Home, Pantry, Walk-In Closet(s)",Two,"Parkade, Underground",Asphalt Shingle,CC-MHX,,,,,,,,,,,,,,,,,,,,
203,"$1,250,000","153 Mahogany Place SE, Calgary, AB, T3M 1N9",3108.51,4+2,3+1,2 Storey,,2013,,Wood Frame,None,Fire Pit,"Basement, Gas, Great Room, Mantle, Masonry, See Through",3108.51 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,Forced Air,"Built-in Features, Chandelier, Closet Organizers, Double Vanity, High Ceilings, Jetted Tub, Kitchen Island, No Smoking Home, Open Floorplan, Pantry, Soaking Tub, Storage, Walk-In Closet(s), Wet Bar",Two,"Double Garage Attached, Driveway, Garage Door Opener, Oversized",Asphalt Shingle,R-1,5780.00 Square Feet,,,,,,,,,,,,,,,,,,,
204,"$599,900","155 Deer Lane Road SE, Calgary, AB, T2J 5S9",1050.04,3+2,3+0,Bungalow,,1979,,"Brick, Vinyl Siding, Wood Frame",None,"Lighting, Private Yard","Electric, Family Room, Recreation Room, Wood Burning",1050.04 Square Feet,Ceramic Tile,Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Kitchen Island, Open Floorplan, Recessed Lighting",One,"Additional Parking, Alley Access, Driveway, Garage Faces Front, Off Street, RV Access/Parking, Single Garage Attached",Asphalt Shingle,R-C1,4951.00 Square Feet,,,,,,,,,,,,,,,,,,,
205,"$1,148,000","156 Cranarch Crescent SE, Calgary, AB, T3M 2J2",2795.00,4+1,3+1,2 Storey,,2014,,"Stone, Stucco, Wood Frame",Central Air,"Barbecue, Private Yard, RV Hookup",Gas,2795.00 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Built-in Features, Closet Organizers, Dry Bar, Kitchen Island, Storage, Walk-In Closet(s)",Two,Double Garage Attached,Asphalt Shingle,R-1s,6619.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
206,"$448,900","156 Livingston Common NE, Calgary, AB, T3P 1K1",1131.75,3+0,2+1,2 Storey,"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal",2020,$305 Monthly,Vinyl Siding,None,Courtyard,,1131.75 Square Feet,"Carpet, Laminate, Tile",Poured Concrete,"Forced Air, Natural Gas",Kitchen Island,Two,Double Garage Attached,Asphalt Shingle,M-1 d100,,,,,,,,,,,,,,,,,,,,
207,"$474,900","156 Lysander Place SE, Calgary, AB, T2C 1L8",1170.00,3+1,2+0,Bi-Level,,1973,,"Vinyl Siding, Wood Frame",None,Other,,1170.00 Square Feet,"Hardwood, Laminate, Other",Poured Concrete,Forced Air,Storage,Bi-Level,"Off Street, RV Access/Parking",Asphalt Shingle,R-C1,5155.00 Square Feet,,,,,,Yes,,,,,,,,,,,,,
208,"$409,900","156 Millrise Close SW, Calgary, AB, T2Y 2T2",1544.30,3+0,2+1,2 Storey,,1989,,"Vinyl Siding, Wood Frame",None,"Other, Private Yard","Mantle, Wood Burning",1544.30 Square Feet,"Carpet, Linoleum",Poured Concrete,"Forced Air, Natural Gas","Ceiling Fan(s), No Animal Home, Open Floorplan, Vaulted Ceiling(s)",Two,Off Street,Asphalt Shingle,R-C1N,3670.00 Square Feet,,,,,,,,,,,,,,,,,,,
209,"$789,900","157 Brightonwoods Grove SE, Calgary, AB, T2Z 0V9",2344.73,3+2,3+1,2 Storey,,2009,,"Vinyl Siding, Wood Frame",Central Air,Private Yard,"Basement, Electric, Family Room, Gas, Mantle, Tile",2344.73 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Chandelier, Double Vanity, Dry Bar, Granite Counters, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Soaking Tub, Storage, Walk-In Closet(s)",Two,"Additional Parking, Concrete Driveway, Double Garage Attached, Garage Door Opener, Garage Faces Front, Heated Garage, Insulated",Asphalt Shingle,R-1N,5866.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
210,"$474,900","157 Chaparral Valley Drive SE, Calgary, AB, T2X 0L8",1128.00,3+0,2+1,"2 Storey, Side by Side",,2009,,"Vinyl Siding, Wood Frame",None,Private Yard,,1128.00 Square Feet,"Carpet, Hardwood, Linoleum",Poured Concrete,"Forced Air, Natural Gas",Kitchen Island,Two,Double Garage Detached,Asphalt,R-2M,2981.00 Square Feet,,,,,,,,,,,,,,,,,,,
211,"$899,000","158 Hampstead Circle NW, Calgary, AB, T3A 5P3",2305.00,4+0,2+1,2 Storey,,1995,,"Concrete, Stucco, Wood Frame",None,Built-in Barbecue,Gas,2305.00 Square Feet,"Ceramic Tile, Hardwood",Poured Concrete,"Fireplace(s), Forced Air, Natural Gas","Central Vacuum, Granite Counters, Kitchen Island, Pantry, Skylight(s), Walk-In Closet(s)",Two,Double Garage Attached,Clay Tile,R-C1,7814.00 Square Feet,,,,,,Yes,,,,,,,,,,,,,
212,"$390,000","16 Kingsland Court SW, Calgary, AB, T2V 0S2",1377.91,3+0,2+1,4 Level Split,"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash",1993,$445 Monthly,"Vinyl Siding, Wood Frame",None,Other,Gas,1377.91 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,Forced Air,"No Smoking Home, Storage",3 Level Split,"Driveway, Single Garage Attached",Asphalt Shingle,M-CG d44,,,,,,,,,,,,,,,,,,,,
213,"$700,000","16 Legacy Landing SE, Calgary, AB, T2X 2E5",2074.04,3+0,2+1,2 Storey,,2016,,"Stone, Vinyl Siding, Wood Frame",Central Air,Private Yard,"Gas, Living Room",2074.04 Square Feet,"Carpet, Laminate, Tile",Poured Concrete,"In Floor, Forced Air, Natural Gas","Breakfast Bar, Chandelier, Double Vanity, High Ceilings, Open Floorplan, Pantry, Recessed Lighting, Soaking Tub, Storage, Walk-In Closet(s)",Two,"Additional Parking, Double Garage Attached, Driveway, Insulated",Asphalt Shingle,R-1N,3821.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
214,"$370,000","16 Millrise Green SW, Calgary, AB, T2Y 3E8",1025.01,2+0,1+1,2 Storey,"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal",1994,$403 Monthly,Vinyl Siding,None,Playground,Gas,1025.01 Square Feet,"Carpet, Ceramic Tile, Laminate",Poured Concrete,"Forced Air, Natural Gas",See Remarks,Two,Single Garage Attached,Asphalt Shingle,M-CG d44,2820.00 Square Feet,,,,,,,,,,,,,,,,,,,
215,"$545,000","160 Covepark Close NE, Calgary, AB, T3K 5R5",1325.00,3+1,2+1,2 Storey,,2002,,Vinyl Siding,Central Air,None,Gas,1325.00 Square Feet,"Hardwood, Tile",Poured Concrete,Forced Air,"Ceiling Fan(s), Kitchen Island, Open Floorplan",Two,"Double Garage Attached, Driveway",Asphalt Shingle,R-1N,3918.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
216,"$334,900","1604-215 13 Avenue SW, Calgary, AB, T2R 0V6",668.91,1+0,1+0,Apartment,"Caretaker, Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",2009,$502 Monthly,Concrete,Central Air,Playground,,668.91 Square Feet,"Carpet, Ceramic Tile",Other,"Fan Coil, Natural Gas","Closet Organizers, Granite Counters, No Animal Home, No Smoking Home, Open Floorplan, Storage",Single Level Unit,"Heated Garage, Parkade, Titled",Membrane,DC,,,,,Yes,,,,,,,,,,,,,,,
217,"$299,900","1604-3830 Brentwood Road NW, Calgary, AB, T2L 2J9",599.00,2+0,1+0,High-Rise (5+),"Heat, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2014,$406 Monthly,Concrete,Central Air,Other,,599.00 Square Feet,"Carpet, Linoleum",,Fan Coil,"Open Floorplan, Storage",Single Level Unit,"Titled, Underground",,DC,,,,,Yes,,,,,,,,,,,,,,,
218,"$218,900","1605-919 38 Street NE, Calgary, AB, T2A 6E1",1040.00,3+0,1+1,4 Level Split,"Common Area Maintenance, Insurance, Reserve Fund Contributions, Snow Removal",1978,$360 Monthly,"Stucco, Wood Siding",None,None,Wood Burning,1040.00 Square Feet,"Carpet, Laminate, Linoleum",Poured Concrete,Forced Air,See Remarks,4 Level Split,Attached Carport,Asphalt Shingle,M-C1 d43,,,,,,,,,,,,,,,,,,,,
219,"$290,000","1606-1122 3 Street SE, Calgary, AB, T2G 0E7",510.00,1+0,1+0,High-Rise (5+),"Amenities of HOA/Condo, Common Area Maintenance, Gas, Heat, Insurance, Professional Management, Reserve Fund Contributions, Security, Sewer, Snow Removal, Trash, Water",2015,$359 Monthly,"Brick, Concrete",Central Air,Courtyard,,510.00 Square Feet,"Ceramic Tile, Laminate",,Fan Coil,"Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan",Single Level Unit,Underground,,DC (pre 1P2007),,,,,Yes,,,,,,,,,,,,,,,
220,"$385,000","1606-325 3 Street SE, Calgary, AB, T2G 0T9",786.00,2+0,2+0,High-Rise (5+),"Amenities of HOA/Condo, Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Residential Manager, Security, Sewer, Snow Removal, Trash, Water",2010,$520 Monthly,"Concrete, Stucco",None,None,,786.00 Square Feet,"Carpet, Ceramic Tile, Tile",,Baseboard,Granite Counters,Single Level Unit,"Assigned, Guest, Heated Garage, Parkade, Underground",,CC-ET,,,,,,,,,,,,,,,,,,,,
221,"$349,900","1606-530 12 Avenue SW, Calgary, AB, T2R 0H3",903.00,1+0,1+1,Apartment,"Caretaker, Common Area Maintenance, Heat, Insurance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",2008,$547 Monthly,"Brick, Concrete, Stone",Central Air,None,,903.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",,Fan Coil,"Breakfast Bar, Built-in Features, Chandelier, Double Vanity, Soaking Tub, Stone Counters",Single Level Unit,"Titled, Underground",Rubber,DC (pre 1P2007),,,,,Yes,,,,,,,,,,,,,,,
222,"$799,000","1607 23 Street NW, Calgary, AB, T2N 2P6",1294.75,3+1,2+0,Bungalow,,1955,,"Stucco, Wood Frame",None,Private Yard,"Basement, Gas, Stone",1294.75 Square Feet,"Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Built-in Features, See Remarks, Soaking Tub, Storage",One,"Double Garage Detached, Heated Garage, Insulated, Oversized",Asphalt Shingle,R-C1,5877.00 Square Feet,,,,,,,,,,,,,,,,,,,
223,"$950,000","1608 21 Street NW, Calgary, AB, T2N 2M2",1463.00,3+1,3+0,Bungalow,,1952,,"Stucco, Wood Frame",Central Air,"Courtyard, Private Yard","Basement, Gas, Living Room",1463.00 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Built-in Features, Ceiling Fan(s), Closet Organizers, Double Vanity, French Door, High Ceilings, Kitchen Island, No Animal Home, See Remarks, Storage, Vaulted Ceiling(s)",One,"Alley Access, Double Garage Detached",Asphalt Shingle,R-C1,6749.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
224,"$614,900","161 Elgin Manor SE, Calgary, AB, T2Z 4N4",1739.74,3+1,3+1,2 Storey,,2004,,"Stone, Vinyl Siding, Wood Frame",Central Air,"Private Yard, Storage","Gas, Living Room, Tile",1739.74 Square Feet,"Carpet, Tile",Poured Concrete,"In Floor, Forced Air, Natural Gas","Breakfast Bar, Closet Organizers, High Ceilings, Kitchen Island, Laminate Counters, No Smoking Home, Pantry, Recessed Lighting, Soaking Tub, Storage, Walk-In Closet(s)",Two,"Alley Access, Garage Faces Rear, Insulated, Oversized",Asphalt Shingle,R-1N,4477.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
225,"$685,000","1611 21 Street NW, Calgary, AB, T2N 2M3",1141.00,3+2,2+0,Bungalow,,1952,,"Vinyl Siding, Wood Frame",None,None,,1141.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Ceiling Fan(s), Skylight(s)",One,"Alley Access, Double Garage Detached, Garage Faces Rear",Asphalt Shingle,R-C1,7147.00 Square Feet,,,,,,,,,,,,,,,,,,,
226,"$649,900","1619 19 Avenue NW, Calgary, AB, T2M 1B2",1632.90,3+2,3+1,"2 Storey, Side by Side",,2000,,"Vinyl Siding, Wood Frame",None,"Dog Run, Private Yard, Storage","Family Room, Gas",1632.90 Square Feet,"Carpet, Laminate",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Pantry",Two,Double Garage Detached,Asphalt,R-c2,3003.00 Square Feet,,,,,,,,,,,,,,,,,,,
227,"$1,675,000","1624 7A Street NW, Calgary, AB, T2M 3K1",1754.00,1+2,2+2,Bungalow,,2007,,Stucco,Central Air,"Dog Run, Lighting",Gas,1754.00 Square Feet,"Carpet, Hardwood, Slate",Poured Concrete,"Forced Air, Natural Gas","Bar, Bookcases, Breakfast Bar, Built-in Features, Central Vacuum, Closet Organizers, Crown Molding, Double Vanity, Granite Counters, High Ceilings, Jetted Tub, Kitchen Island, Open Floorplan, Pantry, Walk-In Closet(s), Wired for Sound",One,"Alley Access, Garage Door Opener, Insulated, Quad or More Detached",Asphalt Shingle,R-C1,5995.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
228,"$649,900","163 Chaparral Common SE, Calgary, AB, T2X 3N7",1743.75,3+1,3+1,2 Storey,,1998,,"Stone, Vinyl Siding, Wood Frame",Central Air,"Dog Run, Fire Pit, Private Yard, Storage","Electric, Gas",1743.75 Square Feet,"Carpet, See Remarks",Poured Concrete,"Forced Air, Natural Gas","Central Vacuum, Chandelier, Dry Bar, High Ceilings, Kitchen Island, No Smoking Home, Open Floorplan, Pantry, See Remarks, Storage, Walk-In Closet(s)",Two,"Double Garage Attached, Driveway",Asphalt Shingle,R-1,4359.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
229,"$659,900","163 Coral Springs Boulevard NE, Calgary, AB, T3J 3K1",1424.00,3+1,3+0,Bi-Level,,1993,,Stucco,None,"Private Entrance, Private Yard",Gas,1424.00 Square Feet,Vinyl,Poured Concrete,Forced Air,"Chandelier, Granite Counters, No Animal Home, No Smoking Home, Separate Entrance, Vaulted Ceiling(s)",Bi-Level,Double Garage Attached,Asphalt Shingle,R-C1,5726.00 Square Feet,,,,,,,,,,,,,,,,,,,
230,"$589,900","163 Evanscrest Way NW, Calgary, AB, T3P 0S3",1658.69,3+1,3+1,2 Storey,,2016,,Wood Frame,Central Air,Other,,1658.69 Square Feet,"Carpet, Tile, Vinyl",Poured Concrete,Forced Air,Open Floorplan,Two,"Driveway, Other, Single Garage Attached",Asphalt Shingle,R-1N,3390.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
231,"$799,800","163 Legacy Glen Park SE, Calgary, AB, T2X 3Y6",2578.41,3+0,2+1,2 Storey,,2019,,"Stone, Stucco, Vinyl Siding, Wood Frame",Central Air,"Lighting, Private Yard","Gas, Living Room, Mantle",2578.41 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Ceiling Fan(s), Closet Organizers, Kitchen Island, Open Floorplan, Pantry, Walk-In Closet(s), WaterSense Fixture(s)",Two,"Concrete Driveway, Double Garage Attached, RV Access/Parking",Asphalt Shingle,R-1N,6566.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
232,"$949,500","1633 19 Avenue NW, Calgary, AB, T2M 1B1",1830.20,3+1,3+1,"2 Storey, Side by Side",,2023,,"Cedar, Concrete, Stucco",Rough-In,None,Gas,1830.20 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"In Floor Roughed-In, Fireplace(s), Forced Air","Bar, Built-in Features, Chandelier, Closet Organizers, Double Vanity, Kitchen Island, No Animal Home, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar",Two,Double Garage Detached,Asphalt Shingle,rc-2,3049.00 Square Feet,,,,,,,,,,,,,,,,,,,
233,"$549,900","1634 12 Avenue SW, Calgary, AB, T3C 0R2",1536.00,3+2,3+0,2 Storey,,1909,,"Wood Frame, Wood Siding",None,"Fire Pit, Private Yard",,1536.00 Square Feet,"Hardwood, Linoleum",Poured Concrete,Forced Air,"High Ceilings, Laminate Counters",Two,"Off Street, Single Garage Detached",Asphalt Shingle,M-C2,3250.00 Square Feet,,,,,,,,,,,,,,,,,,,
234,"$750,000","1640 23 Avenue SW, Calgary, AB, T2T 0T9",1140.00,2+0,2+0,Bungalow,,1957,,Wood Frame,None,Garden,,1140.00 Square Feet,"Carpet, Hardwood, Linoleum",Poured Concrete,"Forced Air, Natural Gas",Separate Entrance,One,"Driveway, Single Garage Attached",,M-CG d72,4951.00 Square Feet,,,,,,,,,,,,,,,,,,,
235,"$408,000","166 Chapalina Square SE, Calgary, AB, T2X 0L7",1351.00,3+0,2+1,2 Storey,"Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal",2008,$394 Monthly,"Vinyl Siding, Wood Frame",Central Air,Courtyard,"Gas, Living Room, Tile",1351.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"Breakfast Bar, Built-in Features, Closet Organizers, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Storage, Walk-In Closet(s)",Two,"Double Garage Attached, Insulated",Asphalt Shingle,M-G d44,1346.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
236,"$309,900","17-153 Rockyledge View NW, Calgary, AB, T3G 5T5",903.37,2+0,2+1,2 Storey,"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal, Trash",2005,$520 Monthly,"Vinyl Siding, Wood Frame",None,Other,,903.37 Square Feet,"Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"High Ceilings, See Remarks",Two,"Parkade, Titled, Underground",Asphalt Shingle,DC (pre 1P2007),,,,,,,,,,,,,,,,,,,,
237,"$599,999","17 Auburn Crest Green SE, Calgary, AB, T3M 0Z3",1503.68,3+0,2+1,2 Storey,,2012,,"Vinyl Siding, Wood Frame, Wood Siding",None,"Fire Pit, Lighting, Private Yard, Storage","Gas, Living Room",1503.68 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Bathroom Rough-in, Breakfast Bar, Built-in Features, Ceiling Fan(s), Granite Counters, High Ceilings, Kitchen Island, No Smoking Home, Open Floorplan, Pantry, Skylight(s), Soaking Tub, Storage, Walk-In Closet(s)",Two,"Alley Access, Double Garage Detached, Garage Faces Rear, Oversized, Paved",Asphalt Shingle,R-1N,2927.00 Square Feet,,,,,,,,,,,,,,,,,,,
238,"$629,999","17 Masters Crescent SE, Calgary, AB, T3M 2H1",1561.00,3+1,3+1,2 Storey,,2014,,"Brick, Composite Siding",Central Air,"Other, Private Yard",,1561.00 Square Feet,"Carpet, Ceramic Tile, Laminate",Poured Concrete,Forced Air,"Double Vanity, No Smoking Home, See Remarks",Two,Double Garage Detached,Asphalt Shingle,R-1N,3939.00 Square Feet,,,,Yes,,,,,,,,,,,,,,,
